t,V10,V47k,V94k,V220k,V672k
-0.00001682,0.0016,-0.0024,-0.0072,0.0032,0.0032
-0.0000168,0.0088,-0.0024,-0.0072,0.0048,0.0088
-0.00001678,0.01,-0.008,-0.002,0.0076,0.0108
-0.00001676,0.0088,-0.0076,-0.0036,0.0056,0.016
-0.00001674,0.0028,-0.0108,-0.0036,0.0084,0.0104
-0.00001672,-0.0032,-0.0028,-0.004,0.0012,0.0132
-0.0000167,-0.0052,0.002,-0.0024,-0.0016,0.006
-0.00001668,-0.0084,0.0076,-0.0004,-0.0084,0.008
-0.00001666,-0.0048,0.0044,-0.0032,-0.0056,-0.0008
-0.00001664,-0.0052,0.0044,-0.0008,-0.0056,0
-0.00001662,0.0012,0.0024,-0.0016,0,-0.0024
-0.0000166,0.0068,0.0036,0.0044,0.0032,0.0024
